                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.52765,                0.86248,                0.92494,                 0.8587,                0.96048,                0.92774,                0.85522,                0.40103,                0.61733,                0.85757,               0.006601,               0.006601,               0.006601
                    105,                0.57339,                0.87981,                0.94878,                0.83919,                0.98419,                0.92588,                0.85888,                0.42002,                 0.6016,                0.86433,               0.006568,               0.006568,               0.006568
                    106,                0.52373,                0.83279,                0.91676,                0.84175,                0.97655,                0.92664,                0.84425,                0.43207,                0.59199,                0.87249,               0.006535,               0.006535,               0.006535
                    107,                0.70287,                0.98745,                0.93402,                0.84167,                 0.9688,                0.93281,                0.84372,                 0.4275,                 0.5938,                0.86635,               0.006502,               0.006502,               0.006502
                    108,                0.56738,                0.81775,                0.97343,                0.85457,                 0.9471,                0.93633,                0.85019,                0.41521,                0.57913,                0.85687,               0.006469,               0.006469,               0.006469
                    109,                0.59191,                0.92415,                0.94226,                0.83875,                0.97779,                0.92791,                0.84984,                0.42583,                0.57076,                0.86044,               0.006436,               0.006436,               0.006436
                    110,                0.61362,                0.96879,                0.95095,                0.86676,                0.94127,                0.93546,                0.84594,                0.40394,                0.58513,                0.85429,               0.006403,               0.006403,               0.006403
                    111,                0.61341,                0.90628,                0.96368,                0.85134,                0.96825,                0.92426,                0.83047,                0.41441,                0.61625,                0.85755,                0.00637,                0.00637,                0.00637
                    112,                0.56104,                0.78747,                0.95953,                0.85756,                      1,                0.94423,                0.85679,                0.40463,                0.55331,                0.85077,               0.006337,               0.006337,               0.006337
                    113,                 0.5855,                 0.8419,                0.98396,                0.86345,                0.98848,                0.93627,                0.86245,                0.39739,                0.53608,                0.85017,               0.006304,               0.006304,               0.006304
                    114,                0.59284,                0.86816,                0.95977,                0.84701,                      1,                0.93415,                0.85136,                0.44129,                 0.5437,                0.86815,               0.006271,               0.006271,               0.006271
                    115,                0.54017,                  0.821,                0.94178,                0.86529,                0.96612,                0.92304,                0.85489,                0.36465,                0.56981,                0.84104,               0.006238,               0.006238,               0.006238
                    116,                0.56145,                0.77215,                 0.9781,                0.84817,                0.96771,                0.92483,                0.84628,                0.40957,                0.56546,                0.85264,               0.006205,               0.006205,               0.006205
                    117,                0.55723,                  0.823,                0.91965,                0.84358,                0.98553,                0.92808,                0.84927,                  0.396,                0.55883,                0.85008,               0.006172,               0.006172,               0.006172
                    118,                0.51109,                0.91178,                0.96258,                0.87854,                 0.9649,                0.93381,                0.86388,                0.40514,                0.56146,                0.85728,               0.006139,               0.006139,               0.006139
                    119,                0.54534,                0.88526,                0.94126,                0.82496,                0.97537,                0.93642,                0.86569,                0.40159,                0.55977,                0.85387,               0.006106,               0.006106,               0.006106
                    120,                0.56763,                0.89223,                0.92264,                0.85099,                0.98708,                0.93211,                0.86177,                0.40883,                0.54711,                0.85344,               0.006073,               0.006073,               0.006073
                    121,                0.56824,                0.81909,                0.97639,                0.86701,                0.98121,                0.92985,                0.86671,                0.36668,                0.54642,                0.83085,                0.00604,                0.00604,                0.00604
                    122,                0.52337,                0.78655,                0.93715,                0.83167,                0.95714,                0.93221,                0.85737,                0.38505,                0.56061,                0.84485,               0.006007,               0.006007,               0.006007
                    123,                0.52531,                 1.0334,                0.89531,                0.86707,                0.95357,                0.94001,                0.84676,                0.42524,                0.57026,                0.86315,               0.005974,               0.005974,               0.005974
                    124,                0.54907,                0.82962,                0.94362,                 0.8513,                0.96428,                0.93434,                0.85531,                0.39363,                  0.574,                0.85647,               0.005941,               0.005941,               0.005941
                    125,                0.52831,                0.87278,                0.92266,                0.85618,                 0.9115,                0.92913,                0.84452,                0.42462,                0.62227,                 0.8722,               0.005908,               0.005908,               0.005908
                    126,                0.52379,                0.73306,                0.90975,                0.87831,                0.92104,                0.92733,                0.84979,                0.41728,                0.56479,                0.86585,               0.005875,               0.005875,               0.005875
                    127,                0.54709,                0.82098,                0.94216,                0.82199,                0.97143,                0.93883,                0.85964,                0.45156,                0.56642,                0.89388,               0.005842,               0.005842,               0.005842
                    128,                0.48576,                0.73125,                0.87725,                0.80946,                0.97143,                 0.9397,                0.85952,                0.42361,                0.56983,                 0.8762,               0.005809,               0.005809,               0.005809
                    129,                0.54263,                0.76626,                0.95131,                 0.8008,                0.98571,                0.93809,                0.85855,                0.42049,                0.56917,                0.87509,               0.005776,               0.005776,               0.005776
                    130,                0.52174,                0.88757,                0.91824,                 0.7881,                0.99998,                0.93395,                0.83978,                0.46182,                0.58377,                0.89557,               0.005743,               0.005743,               0.005743
                    131,                0.54973,                0.78176,                0.94321,                0.80511,                0.97143,                 0.9394,                0.86398,                0.42774,                0.54922,                0.88791,                0.00571,                0.00571,                0.00571
                    132,                0.51427,                0.83271,                0.88356,                0.84383,                0.99207,                0.94069,                 0.8783,                0.37314,                 0.4745,                0.83765,               0.005677,               0.005677,               0.005677
                    133,                0.48599,                0.67535,                 0.9223,                0.83177,                0.99722,                0.93549,                 0.8797,                0.34087,                0.44742,                 0.8204,               0.005644,               0.005644,               0.005644
                    134,                0.51164,                 0.7128,                0.87374,                0.82304,                      1,                0.94201,                0.87712,                 0.3675,                0.47864,                0.82382,               0.005611,               0.005611,               0.005611
                    135,                0.58157,                0.87836,                0.95705,                0.80817,                0.99324,                0.94233,                0.86839,                0.37415,                 0.5051,                0.83915,               0.005578,               0.005578,               0.005578
                    136,                0.54527,                0.78334,                0.91615,                0.82207,                0.99375,                0.94147,                0.86042,                0.42268,                0.54608,                0.88942,               0.005545,               0.005545,               0.005545
